n,semivalue,permutations_per_raw_batch,raw_batches,group_size,n_independent_groups,min_spearman,min_kendall,mean_spearman,mean_kendall,near_tie_pairs_rel_1e-3,quality_decision
50,BT-1-1,100000,3,1,3,0.9940456182472988,0.9526530612244898,0.9950380152060824,0.9586394557823129,3,PASS
50,BT-1-4,100000,3,1,3,0.9985594237695078,0.9804081632653062,0.9989435774309724,0.9858503401360545,6,PASS
50,BT-4-1,100000,3,1,3,0.9885714285714285,0.9281632653061225,0.989595838335334,0.9314285714285715,6,PASS
50,BT-4-4,100000,3,1,3,0.9992316926770708,0.9869387755102041,0.9993597438975589,0.9891156462585036,5,PASS
50,WBZ-01,100000,3,1,3,0.9864585834333733,0.9167346938775511,0.9887635054021607,0.923809523809524,5,PASS
50,WBZ-03,100000,3,1,3,0.997406962785114,0.9722448979591838,0.9980792316926771,0.978231292517007,8,PASS
50,WBZ-05,100000,3,1,3,0.9993277310924369,0.9885714285714287,0.999391756702681,0.990204081632653,2,PASS
50,WBZ-07,100000,3,1,3,0.9983673469387755,0.9804081632653062,0.9985274109643857,0.9825850340136055,4,PASS
50,WBZ-09,100000,3,1,3,0.9935654261704682,0.9542857142857143,0.9948459383753501,0.9597278911564625,18,PASS
