n,semivalue,permutations_per_raw_batch,raw_batches,group_size,n_independent_groups,min_spearman,min_kendall,mean_spearman,mean_kendall,near_tie_pairs_rel_1e-3,quality_decision
50,BT-1-1,100000,3,1,3,0.9434333733493396,0.8236734693877551,0.9532292917166867,0.8432653061224489,9,PASS
50,BT-1-4,100000,3,1,3,0.9791596638655462,0.9102040816326531,0.983641456582633,0.9216326530612244,84,PASS
50,BT-4-1,100000,3,1,3,0.9428571428571428,0.8138775510204082,0.9519487795118047,0.8323809523809524,5,PASS
50,BT-4-4,100000,3,1,3,0.9846338535414164,0.9314285714285715,0.9894037615046017,0.9434013605442177,17,PASS
50,WBZ-01,100000,3,1,3,0.9641776710684273,0.8628571428571429,0.9736534613845538,0.8868027210884354,9,PASS
50,WBZ-03,100000,3,1,3,0.9821368547418967,0.9248979591836736,0.9848259303721488,0.9325170068027212,26,PASS
50,WBZ-05,100000,3,1,3,0.9898199279711885,0.9444897959183673,0.9924129651860744,0.952108843537415,25,PASS
50,WBZ-07,100000,3,1,3,0.9652340936374548,0.8824489795918368,0.9706762705082032,0.8933333333333334,64,PASS
50,WBZ-09,100000,3,1,3,0.9164465786314525,0.7991836734693878,0.9355582232893157,0.8280272108843537,202,PASS
