dataset,n,method,paper_method,family,family_label,family_size,avg_log_aurc,avg_log_aurc_se,avg_log_aurc_ci95,worst_log_aurc,worst_log_aurc_se,worst_log_aurc_ci95,n_units,num_values
SOUG,50,AdaRank,AdaRank,Beta,BT,4,0.851400009991967,0.0049969900119874,0.0097941004234954,0.8005643286582361,0.0093592133162215,0.0183440580997943,25,4
SOUG,50,OFA,OFA,Beta,BT,4,0.6413950839409388,0.007082263032667,0.0138812355440274,0.458952949272507,0.0166920768226077,0.0327164705723111,25,4
SOUG,50,WPERM,WPERM,Beta,BT,4,0.7110096955724053,0.0082983904672334,0.0162648453157776,0.5555579766081108,0.0164676556472951,0.0322766050686985,25,4
SOUG,50,SHAPIQ,SHAP-IQ (OFA impl.),Beta,BT,4,0.230583446100937,0.0180566606091561,0.0353910547939461,0.1273414131476609,0.0206241411133208,0.0404233165821087,25,4
SOUG,50,AdaRank,AdaRank,WBZ,WBZ,5,0.7061204594179005,0.005803676584253,0.0113752061051359,0.574951618060495,0.0148488271376414,0.0291037011897772,25,5
SOUG,50,OFA,OFA,WBZ,WBZ,5,0.612697541542916,0.0056784172699782,0.0111296978491574,0.4378304190547568,0.0161512266249705,0.0316564041849421,25,5
SOUG,50,WPERM,WPERM,WBZ,WBZ,5,0.5132858787895709,0.0081563151767731,0.0159863777464752,0.4301703595579891,0.0164480728145151,0.0322382227164496,25,5
SOUG,50,SHAPIQ,SHAP-IQ (OFA impl.),WBZ,WBZ,5,0.233994848835426,0.0107469194787856,0.0210639621784197,0.0785923804711442,0.0192222642345126,0.0376756378996447,25,5
SOUG,50,AdaRank,AdaRank,Canonical,CAN,2,0.7956152826048251,0.0065215242522878,0.0127821875344841,0.71143595356097,0.0076789060916234,0.0150506559395819,25,2
SOUG,50,OFA,OFA,Canonical,CAN,2,0.6176981227082183,0.0072738726815705,0.0142567904558782,0.5245260009148769,0.0137345110432754,0.0269196416448198,25,2
SOUG,50,WPERM,WPERM,Canonical,CAN,2,0.6345347024131722,0.0107672823016194,0.0211038733111741,0.5563190273063966,0.0154027115086371,0.0301893145569287,25,2
SOUG,50,SHAPIQ,SHAP-IQ (OFA impl.),Canonical,CAN,2,0.1721569689286676,0.0181448896872143,0.03556398378694,0.1705858095241328,0.0200540094619796,0.0393058585454802,25,2
SOUG,50,AdaRank,AdaRank,All-9,ALL,9,0.7706891485619299,0.0047655371212981,0.0093404527577443,0.574951618060495,0.0148488271376414,0.0291037011897772,25,9
SOUG,50,OFA,OFA,All-9,ALL,9,0.6254520048309262,0.0057699457208507,0.0113090936128675,0.4378304190547568,0.0168911843464423,0.0331067213190269,25,9
SOUG,50,WPERM,WPERM,All-9,ALL,9,0.6011631306930529,0.0073334965758704,0.0143736532887061,0.4301703595579891,0.0164480728145151,0.0322382227164496,25,9
SOUG,50,SHAPIQ,SHAP-IQ (OFA impl.),All-9,ALL,9,0.2324786698423198,0.0131950366773634,0.0258622718876323,0.0785923804711442,0.0196943343919633,0.0386008954082482,25,9
